song_name;artist(s)_name;streams;released_year;contract
Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee);A$AP Rocky, Metro Boomin, Roisee;94186466;2023;Unknown
Do I Wanna Know?;Arctic Monkeys;1788326445;2013;Domino Recording Company
Demons;Imagine Dragons;1840364617;2012;Interscope Records
ýýýýýýýýýýýý;YOASOBI;143573775;2023;Unknown
Reminder;The Weeknd;684675814;2016;Republic Records
Shake It Off;Taylor Swift;1113838873;2014;Universal Music Group
Why'd You Only Call Me When You're High?;Arctic Monkeys;1267333350;2013;Domino Recording Company
SNAP;Rosa Linn;726307468;2022;Unknown
Shape of You;Ed Sheeran;3562543890;2017;Atlantic Records
Night Changes;One Direction;1131090940;2014;Unknown
Fin de Semana;Oscar Maydon, Junior H;307370144;2023;Unknown
Creep;Radiohead;1271293243;1992;Unknown
Car's Outside;James Arthur;265882712;2019;Columbia Records
Apocalypse;Cigarettes After Sex;841749534;2017;Unknown
Cheques;Shubh;47956378;2023;Unknown
Pink + White;Frank Ocean;806397070;2016;Unknown
Circles;Post Malone;2132335812;2019;Republic Records
Just The Way You Are;Bruno Mars;1641426668;2010;Unknown
Take Me To Church;Hozier;2135158446;2013;Unknown
Bebe Dame;Fuerza Regida, Grupo Frontera;367316268;2022;Unknown
You Belong With Me (Taylorï¿½ï¿½ï¿½s Ve;Taylor Swift;350381515;2021;Universal Music Group
Titi Me Preguntï¿;Bad Bunny;1264310836;2022;Rimas Entertainment
Better Than Revenge (Taylor's Version);Taylor Swift;30343206;2023;Universal Music Group
Shut up My Moms Calling;Hotel Ugly;405136812;2020;Unknown
Have You Ever Seen The Rain?;Creedence Clearwater Revival;1145727611;1968;Unknown
Es un Secreto;Plan B;540654286;2010;Unknown
POLARIS - Remix;Feid, Mora, Saiko, Quevedo;57312735;2023;Unknown
Ditto;NewJeans;397582059;2022;Unknown
Take On Me;a-ha;1479115056;1984;Unknown
Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset);Swae Lee, Lil Wayne, Offset, Metro Boomin;86773632;2023;Unknown
Angel Pt 1 (feat. Jimin of BTS, JVKE & Muni Long);Kodak Black, NLE Choppa, Muni Long, JVKE, Jimin;133753727;2023;Unknown
Acrï¿½ï¿½s;Shakira;123124076;2023;Unknown
AMG;Natanael Cano, Gabito Ballesteros, Peso Pluma;463564958;2022;Unknown
"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")";Arijit Singh, Sachin-Jigar, Amitabha Bhattacharya;64533040;2023;Unknown
S-Class;Stray Kids;65496046;2023;Unknown
Hits Different;Taylor Swift;68616963;2023;Universal Music Group
Chanel;Becky G, Peso Pluma;161460990;2023;Unknown
Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray);Metro Boomin, Coi Leray;70106975;2023;Unknown
Area Codes;Kaliii, Kaliii;113509496;2023;Unknown
Abcdario;Junior H, Eden Muï¿½ï;89933133;2023;Unknown
Obsessed;Abhijay Sharma, Riar Saab;71007139;2022;Unknown
Piï¿½ï¿½man Deï¿;Semicenk, Doï¿½ï¿½u ;43522589;2023;Unknown
FLOWER;JISOO;232896922;2023;Unknown
All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert);Future, Lil Uzi Vert, Metro Boomin;37126685;2023;Unknown
Eyes Closed;Ed Sheeran;195576623;2023;Atlantic Records
Escapism.;RAYE, 070 Shake;532336353;2022;Unknown
La Jumpa;Arcangel, Bad Bunny;538115192;2022;Unknown
Karma (feat. Ice Spice);Taylor Swift, Ice Spice;46142772;2023;Unknown
Superhero (Heroes & Villains) [with Future & Chris Brown];Future, Chris Brown, Metro Boomin;401036314;2022;Unknown
Las Morras;BLESSD, Peso Pluma;127026613;2023;Unknown
CHORRITO PA LAS ANIMAS;Feid;345031710;2022;Unknown
Ch y la Pizza;Fuerza Regida, Natanael Cano;288101651;2022;Unknown
Snow On The Beach (feat. More Lana Del Rey);Lana Del Rey, Taylor Swift;60350538;2023;Unknown
Players;Coi Leray;335074782;2022;Unknown
Bite Me;ENHYPEN;76767396;2023;Unknown
Stand By Me (feat. Morgan Wallen);Lil Durk, Morgan Wallen;46065667;2023;Unknown
Normal;Feid;459276435;2022;Unknown
Hummingbird (Metro Boomin & James Blake);James Blake, Metro Boomin;39666245;2023;Unknown
Seu Brilho Sumiu - Ao Vivo;Israel & Rodolffo, Mari Fernandez;138517666;2023;Unknown
Bad Habit;Steve Lacy;822633917;2022;Unknown
CUFF IT;Beyoncï¿;595900742;2022;Unknown
Lilith (feat. SUGA of BTS) (Diablo IV Anthem);Halsey, Suga;51985779;2023;Unknown
69;Nicky Jam, Feid;57945987;2023;Unknown
Niï¿½ï¿½a Bo;Sean Paul, Feid;115010040;2023;Unknown
Search & Rescue;Drake;175097833;2023;Unknown
AMERICA HAS A PROBLEM (feat. Kendrick Lamar);Kendrick Lamar, Beyoncï¿;57089066;2023;Unknown
Lavender Haze;Taylor Swift;488386797;2022;Universal Music Group
Link Up (Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse );WizKid, Toian, Metro Boomin, Don Toliver, Beam;32761689;2023;Unknown
Efecto;Bad Bunny;1047480053;2022;Rimas Entertainment
Erro Gostoso - Ao Vivo;Simone Mendes;153454328;2023;Unknown
Cupido;Tini;217672943;2023;Unknown
Just Wanna Rock;Lil Uzi Vert;457184829;2022;Unknown
Unstoppable;Sia;939844851;2016;Unknown
Until I Found You;Stephen Sanchez;726434358;2021;Unknown
Rich Flex;Drake, 21 Savage;573633020;2022;Unknown
Easy On Me;Adele;1406111294;2021;Unknown
Cartï¿½ï¿½o B;MC Caverinha, KayBlack;71573339;2023;Unknown
Danger (Spider) (Offset & JID);Offset, JID;24975653;2023;Unknown
Oi Balde - Ao Vivo;Zï¿½ï¿½ Neto & Crist;145458418;2023;Unknown
The Real Slim Shady;Eminem;1424589568;2000;Unknown
MERCHO;Migrantes, LiL CaKe, Nico Valdi;231332117;2022;Unknown
The Color Violet;Tory Lanez;415932686;2021;Unknown
Glimpse of Us;Joji;988515741;2022;Unknown
Mejor Que Yo;Mambo Kingz, DJ Luian, Anuel Aa;50847624;2023;Unknown
Curtains;Ed Sheeran;39893489;2023;Atlantic Records
UNFORGIVEN (feat. Nile Rodgers);Nile Rodgers, LE SSERAFIM;92035115;2023;Unknown
Haegeum;Agust D;118810253;2023;Unknown
Conexï¿½ï¿½es de Mï¿½ï¿½fia (feat. Rich;Rich The Kid, Matuï¿;77233241;2023;Unknown
MIENTRAS ME CURO DEL CORA;Karol G;206399629;2023;Unknown
Never Felt So Alone;Labrinth;117747907;2023;Unknown
X SI VOLVEMOS;Karol G, Romeo Santos;266624541;2023;Unknown
ceilings;Lizzy McAlpine;293186992;2022;Unknown
Cupid;Fifty Fifty;139681964;2023;Unknown
I AM;IVE;123132751;2023;Unknown
Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe;sped up 8282;103762518;1997;Unknown
Shorty Party;Cartel De Santa, La Kelly;162887075;2023;Unknown
Super;SEVENTEEN;91221625;2023;Unknown
Slut Me Out;NLE Choppa;190490915;2022;Unknown
Double Fantasy (with Future);The Weeknd, Future;96180277;2023;Unknown
All Of The Girls You Loved Before;Taylor Swift;185240616;2019;Universal Music Group
PROVENZA;Karol G;885093467;2022;Unknown
Princess Diana (with Nicki Minaj);Nicki Minaj, Ice Spice;104992946;2023;Unknown
Di Que Si;Grupo Marca Registrada, Grupo Frontera;147290338;2023;Unknown
Shivers;Ed Sheeran;1302184087;2021;Atlantic Records
Igualito a Mi Apï¿;Fuerza Regida, Peso Pluma;158950978;2022;Unknown
Shoong! (feat. LISA of BLACKPINK);TAEYANG, Lisa;76910644;2023;Unknown
Komang;Raim Laode;137123880;2022;Unknown
DESPECHï¿;ROSALï¿½;782369383;2022;Unknown
Made You Look;Meghan Trainor;502574952;2022;Unknown
Watch This - ARIZONATEARS Pluggnb Remix;sped up nightcore, ARIZONATEARS, Lil Uzi Vert;207033255;2023;Unknown
No Se Va;Grupo Frontera;404887295;2022;Unknown
Punto G;Quevedo;381161027;2022;Unknown
Lovers Rock;TV Girl;466231982;2014;Unknown
METAMORPHOSIS;INTERWORLD;357580552;2021;Unknown
Mami Chula;Quevedo, Jhayco;61105704;2023;Unknown
En Paris;El Chachito, Junior H;198275403;2022;Unknown
Set Me Free Pt.2;Jimin;168448603;2023;Unknown
I Was Never There;The Weeknd, Gesaffelstein;705469769;2018;Unknown
Don't ever say love me (feat. RM of BTS);RM, Colde;34502215;2023;Unknown
Shut Down;BLACKPINK;482175240;2022;Unknown
Gato de Noche;Nengo Flow, Bad Bunny;304118600;2022;Unknown
Call Out My Name;The Weeknd;1449799467;2018;Republic Records
Like Crazy (English Version);Jimin;173627354;2023;Unknown
Rosa Pastel;Jasiel Nuï¿½ï¿½ez, Peso P;90025258;2023;Unknown
Sunroof;Nicky Youre, Dazy;652704649;2021;Unknown
Lose Yourself - Soundtrack Version;Eminem;1829992958;2002;Unknown
Superman;Eminem, Dina Rae;655466831;2002;Unknown
Mas Rica Que Ayer;Mambo Kingz, DJ Luian, Anuel Aa;146409671;2023;Unknown
People Pt.2 (feat. IU);IU, Agust D;95816024;2023;Unknown
REMIX EXCLUSIVO;Feid;117206995;2023;Unknown
Arcï¿½ï¿½ngel: Bzrp Music Sessions, Vol;Arcangel, Bizarrap;100409613;2023;Unknown
DOGTOOTH;Tyler, The Creator;80758350;2023;Unknown
10:35;Tiï¿½ï¿½sto, Tate M;325592432;2022;Unknown
SORRY NOT SORRY;Tyler, The Creator;58473276;2023;Unknown
HAPPY;NF;52722996;2023;Unknown
La Bebe;Yng Lvcas;191945597;2021;Unknown
I Know - PR1SVX Edit;Kanii, PR1ISVX;77377503;2023;Unknown
Late Night Talking;Harry Styles;743693613;2022;Columbia Records
Leï¿½;Marï¿½ï¿½lia Mendo;267789608;2022;Unknown
Save Your Tears (with Ariana Grande) (Remix);Ariana Grande, The Weeknd;1221813483;2020;Unknown
Something in the Orange;Zach Bryan;449701773;2022;Unknown
VOID;Melanie Martinez;67070410;2023;Unknown
Dijeron Que No La Iba Lograr;Fuerza Regida, Chino Pacas;116334601;2023;Unknown
Midnight Rain;Taylor Swift;433356509;2022;Universal Music Group
If We Ever Broke Up;Mae Stephens;165584767;2023;Unknown
You Proof;Morgan Wallen;367814306;2022;Unknown
LA INOCENTE;Feid, Mora;477033549;2022;Unknown
Malas Decisiones;Kenia OS;156214700;2022;Unknown
Murder In My Mind;Kordhell;448843705;2022;Unknown
Gangsta's Paradise;Coolio, L.V.;1357608774;1995;Unknown
CAIRO;Karol G, Ovy On The Drums;294352144;2022;Unknown
I Love You So;The Walters;972164968;2014;Unknown
Dark Red;Steve Lacy;920045682;2017;Unknown
Say You Won't Let Go;James Arthur;2420461338;2016;Columbia Records
The Hills;The Weeknd;1947371785;2015;Republic Records
Heart To Heart;Mac DeMarco;244658767;2019;Unknown
Peaches (from The Super Mario Bros. Movie);Jack Black;68216992;2023;Unknown
Marisola - Remix;Duki, NICKI NICOLE, Cris Mj, Standly, Stars Music Chile;223582566;2022;Unknown
LOKERA;Brray, Rauw Alejandro, Lyanno;471819764;2022;Unknown
Low;SZA;272377463;2022;Top Dawg Entertainment
Numb;Linkin Park;1361425037;2003;Unknown
Tormenta (feat. Bad Bunny);Gorillaz, Bad Bunny;149778242;2023;Unknown
on the street (with J. Cole);j-hope, J. Cole;116599790;2023;Unknown
One Thing At A Time;Morgan Wallen;148469433;2022;Unknown
Miss You;Robin Schulz, Oliver Tree;497225336;2022;Unknown
Ainï¿½ï¿½ï¿½t Tha;Morgan Wallen;88791109;2023;Unknown
Thinkinï¿½ï¿½ï¿½ B;Morgan Wallen;125917280;2023;Unknown
Private Landing (feat. Justin Bieber & Future);Don Toliver, Future, Justin Bieber;105062254;2023;Unknown
Everything I Love;Morgan Wallen;95623148;2023;Unknown
Heaven;Niall Horan;144584800;2023;Unknown
LET GO;Central Cee;298063749;2022;Unknown
Sial;Mahalini;166570053;2023;Unknown
I Wrote The Book;Morgan Wallen;83021468;2023;Unknown
"Apna Bana Le (From ""Bhediya"")";Arijit Singh, Sachin-Jigar;139836056;2022;Unknown
SPIT IN MY FACE!;ThxSoMch;303216294;2022;Unknown
PLAYA DEL INGLï¿½;Myke Towers, Quevedo;221409663;2022;Unknown
Man Made A Bar (feat. Eric Church);Morgan Wallen, Eric Church;58890931;2023;Unknown
Red Ruby Da Sleeze;Nicki Minaj;81419389;2023;Unknown
Kahani Suno 2.0;Kaifi Khalil;156777415;2022;Unknown
Nobody Gets Me;SZA;284908316;2022;Top Dawg Entertainment
PERO Tï¿;Karol G, Quevedo;93438910;2023;Unknown
Hype Boy;NewJeans;363472647;2022;Unknown
Bloody Mary;Lady Gaga;372476382;2011;Unknown
Monotonï¿½;Ozuna, Shakira;380726517;2022;Unknown
ýýý98 Braves;Morgan Wallen;56533272;2023;Unknown
WANDA;Quevedo;175399345;2023;Unknown
Thought You Should Know;Morgan Wallen;203221468;2022;Unknown
In The End;Linkin Park;1624165576;2000;Unknown
Zona De Perigo;Leo Santana;134294498;2022;Unknown
Lovezinho;Treyce;70069745;2022;Unknown
I Like You (A Happier Song) (with Doja Cat);Post Malone, Doja Cat;609293408;2022;Unknown
Neverita;Bad Bunny;671365962;2022;Rimas Entertainment
Vista Al Mar;Quevedo;362361576;2022;Unknown
Sem Alianï¿½ï¿½a no;MC Xenon, Os Gemeos da Putaria;93587665;2022;Unknown
Enemy (with JID) - from the series Arcane League of Legends;Imagine Dragons, League of Legends, JID, Arcane;1223481149;2021;Unknown
Revenge;XXXTENTACION;1022258230;2017;Unknown
Bombonzinho - Ao Vivo;Israel & Rodolffo, Ana Castela;263453310;2022;Unknown
LA CANCIï¿½;J Balvin, Bad Bunny;1435127549;2019;Unknown
Quï¿½ï¿½ Ago;Yuridia, Angela Aguilar;236857112;2022;Unknown
Love Again;The Kid Laroi;147538971;2023;Unknown
After Hours;The Weeknd;698086140;2020;Republic Records
About Damn Time;Lizzo;723894473;2022;Unknown
Born With A Beer In My Hand;Morgan Wallen;34450974;2023;Unknown
ýýýýýýýýýýýýýýýýýýýýý;Fujii Kaze;403097450;2020;Unknown
Besos Moja2;Wisin & Yandel, ROSALï¿½;309483971;2022;Unknown
Maan Meri Jaan;King;319566866;2022;Unknown
Moscow Mule;Bad Bunny;909001996;2022;Rimas Entertainment
My Universe;Coldplay, BTS;1061966512;2021;Unknown
Devil Donï¿½ï¿½ï¿½;Morgan Wallen;32526947;2023;Unknown
LLYLM;ROSALï¿½;124988687;2023;Unknown
I'm Not Here To Make Friends;Sam Smith, Calvin Harris, Jessie Reyez;103787664;2023;Unknown
TRUSTFALL;P!nk;134255790;2023;Unknown
ANTIFRAGILE;LE SSERAFIM;301051721;2022;Unknown
Boy's a liar;PinkPantheress;156338624;2022;Unknown
VIBE (feat. Jimin of BTS);TAEYANG, Jimin;152850295;2023;Unknown
Shirt;SZA;309653982;2022;Top Dawg Entertainment
Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By;Rihanna;297328960;2022;Unknown
STAR WALKIN' (League of Legends Worlds Anthem);Lil Nas X;332506354;2022;Unknown
Sex, Drugs, Etc.;Beach Weather;480507035;2016;Unknown
Boy With Luv (feat. Halsey);Halsey, BTS;1065580332;2019;Unknown
Hey, Mickey!;Baby Tate;122763672;2016;Unknown
Calm Down;Rï¿½ï;445763624;2022;Unknown
Jhoome Jo Pathaan;Arijit Singh, Vishal Dadlani, Sukriti Kakar, Vishal-Shekhar, Shekhar Ravjiani, Kumaar;1365184;2022;Unknown
Escapism. - Sped Up;RAYE, 070 Shake;184308753;2022;Unknown
Space Song;Beach House;789753877;2015;Unknown
